home_team_id,away_team_id,home_win,sequenceNumber,homeWinProbability,homeScore,scoringPlay,priority,statYardage,awayScore,wallclock,modified,id,text,period.number,start.distance,start.yardLine,start.team.id,start.down,start.yardsToEndzone,clock.displayValue,type.id,type.text,type.abbreviation,end.shortDownDistanceText,end.possessionText,end.downDistanceText,end.distance,end.yardLine,end.team.id,end.down,end.yardsToEndzone,start.shortDownDistanceText,start.possessionText,start.downDistanceText,scoringType.displayName,scoringType.name,scoringType.abbreviation,minutes_remaining,game_completed,phat_A,phat_B,Y
,,,413000,0.838,28.0,False,False,1.0,17.0,2018-09-14T03:11:12Z,2018-09-30T09:48Z,4010306904105.0,(10:30) {Jackson in at QB} (Shotgun) L.Jackson right tackle to CIN 16 for 1 yard (J.Willis).,4.0,10.0,17.0,33.0,1.0,17.0,10:30,5.0,Rush,RUSH,1st & 10,CIN 16,1st & 10 at CIN 16,10.0,16.0,33.0,1.0,16.0,1st & 10,CIN 17,1st & 10 at CIN 17,,,,10.5,82.5,0.838,0.44,1.0
,,,415700,0.769,28.0,False,False,-5.0,17.0,2018-09-14T03:11:46Z,2018-09-30T09:48Z,4010306904130.0,"(9:56) {Flacco in at QB} (Shotgun)  PENALTY on BLT-R.Stanley, False Start, 5 yards, enforced at CIN 16 - No Play.",4.0,9.0,16.0,33.0,2.0,16.0,9:56,8.0,Penalty,PEN,1st & 10,CIN 21,1st & 10 at CIN 21,10.0,21.0,33.0,1.0,21.0,2nd & 9,CIN 16,2nd & 9 at CIN 16,,,,9.933333333333334,83.44444444444444,0.769,0.44,1.0
,,,419600,0.777,28.0,True,False,21.0,23.0,2018-09-14T03:12:23Z,2018-09-30T09:48Z,4010306904157.0,John Brown Pass From Joe Flacco for 21 Yrds (Pass formation) TWO-POINT CONVERSION ATTEMPT. J.Flacco pass to J.Allen is incomplete. ATTEMPT FAILS.,4.0,14.0,21.0,33.0,2.0,21.0,9:35,67.0,Passing Touchdown,TD,,,,10.0,0.0,33.0,-1.0,15.0,2nd & 14,CIN 21,2nd & 14 at CIN 21,Touchdown,touchdown,TD,9.583333333333334,84.02777777777779,0.777,0.44,1.0
,,,422000,0.77,28.0,False,False,0.0,23.0,2018-09-14T03:16:16Z,2018-09-30T09:48Z,4010306904196.0,"J.Tucker kicks 65 yards from BLT 35 to end zone, Touchback.",4.0,0.0,65.0,33.0,0.0,65.0,9:35,53.0,Kickoff,K,1st & 10,CIN 25,1st & 10 at CIN 25,10.0,25.0,4.0,1.0,75.0,,,,,,,9.583333333333334,84.02777777777779,0.77,0.44,1.0
,,,424100,0.779,28.0,False,False,6.0,23.0,2018-09-14T03:17:03Z,2018-09-30T09:48Z,4010306904220.0,(9:35) J.Mixon right tackle to CIN 31 for 6 yards (P.Onwuasor; M.Humphrey).,4.0,10.0,25.0,4.0,1.0,75.0,9:35,5.0,Rush,RUSH,3rd & 2,CIN 31,3rd & 2 at CIN 31,2.0,31.0,4.0,3.0,69.0,1st & 10,CIN 25,1st & 10 at CIN 25,,,,9.583333333333334,84.02777777777779,0.779,0.44,1.0
,,,426200,0.818,28.0,False,False,2.0,23.0,2018-09-14T03:17:45Z,2018-09-30T09:48Z,4010306904241.0,(8:53) G.Bernard left tackle to CIN 33 for 2 yards (B.Williams; P.Onwuasor).,4.0,4.0,31.0,4.0,2.0,69.0,8:53,5.0,Rush,RUSH,3rd & 2,CIN 33,3rd & 2 at CIN 33,2.0,33.0,4.0,3.0,67.0,2nd & 4,CIN 31,2nd & 4 at CIN 31,,,,8.883333333333333,85.19444444444444,0.818,0.44,1.0
,,,429500,0.845,28.0,False,False,5.0,23.0,2018-09-14T03:18:31Z,2018-09-30T09:48Z,4010306904262.0,"(8:08) (Shotgun) A.Dalton pass incomplete short left to T.Boyd (T.Young). PENALTY on BLT-T.Young, Defensive Holding, 5 yards, enforced at CIN 33 - No Play.",4.0,2.0,33.0,4.0,3.0,67.0,8:08,3.0,Pass Incompletion,,1st & 10,CIN 38,1st & 10 at CIN 38,10.0,38.0,4.0,1.0,62.0,3rd & 2,CIN 33,3rd & 2 at CIN 33,,,,8.133333333333333,86.44444444444444,0.845,0.44,1.0
,,,431900,0.843,28.0,False,False,12.0,23.0,2018-09-14T03:19:30Z,2018-09-30T09:48Z,4010306904295.0,(8:03) A.Dalton pass short middle to C.Uzomah to 50 for 12 yards (M.Judon).,4.0,10.0,38.0,4.0,1.0,62.0,8:03,24.0,Pass Reception,REC,1st & 10,50,1st & 10 at 50,10.0,50.0,4.0,1.0,50.0,1st & 10,CIN 38,1st & 10 at CIN 38,,,,8.05,86.58333333333333,0.843,0.44,1.0
,,,434000,0.881,28.0,False,False,5.0,23.0,2018-09-14T03:20:11Z,2018-09-30T09:48Z,4010306904319.0,(7:22) (Shotgun) J.Mixon left end to BLT 45 for 5 yards (E.Weddle).,4.0,10.0,50.0,4.0,1.0,50.0,7:22,5.0,Rush,RUSH,2nd & 5,BAL 45,2nd & 5 at BAL 45,5.0,55.0,4.0,2.0,45.0,1st & 10,50,1st & 10 at 50,,,,7.366666666666666,87.72222222222223,0.881,0.44,1.0
,,,436900,0.927,28.0,False,False,8.0,23.0,2018-09-14T03:20:55Z,2018-09-30T09:48Z,4010306904340.0,(6:38) (Shotgun) A.Dalton pass short right to A.Green pushed ob at BLT 37 for 8 yards (M.Humphrey).,4.0,5.0,55.0,4.0,2.0,45.0,6:38,24.0,Pass Reception,REC,1st & 10,BAL 37,1st & 10 at BAL 37,10.0,63.0,4.0,1.0,37.0,2nd & 5,BAL 45,2nd & 5 at BAL 45,,,,6.633333333333333,88.94444444444444,0.927,0.44,1.0
,,,439400,0.9,28.0,False,False,21.0,23.0,2018-09-14T03:21:37Z,2018-09-30T09:48Z,4010306904369.0,(5:59) J.Mixon right tackle to BLT 16 for 21 yards (E.Weddle). {reversed run to left end},4.0,10.0,63.0,4.0,1.0,37.0,5:59,5.0,Rush,RUSH,1st & 10,BAL 16,1st & 10 at BAL 16,10.0,84.0,4.0,1.0,16.0,1st & 10,BAL 37,1st & 10 at BAL 37,,,,5.983333333333333,90.02777777777777,0.9,0.44,1.0
,,,441500,0.903,28.0,False,False,-3.0,23.0,2018-09-14T03:22:28Z,2018-09-30T09:48Z,4010306904394.0,(5:08) J.Mixon right end to BLT 19 for -3 yards (P.Ricard).,4.0,10.0,84.0,4.0,1.0,16.0,5:08,5.0,Rush,RUSH,2nd & 13,BAL 19,2nd & 13 at BAL 19,13.0,81.0,4.0,2.0,19.0,1st & 10,BAL 16,1st & 10 at BAL 16,,,,5.133333333333334,91.44444444444444,0.903,0.44,1.0
,,,443600,0.917,28.0,False,False,1.0,23.0,2018-09-14T03:23:07Z,2018-09-30T09:48Z,4010306904415.0,(4:29) (Shotgun) G.Bernard up the middle to BLT 18 for 1 yard (T.Jefferson; T.Williams).,4.0,13.0,81.0,4.0,2.0,19.0,4:29,5.0,Rush,RUSH,3rd & 12,BAL 18,3rd & 12 at BAL 18,12.0,82.0,4.0,3.0,18.0,2nd & 13,BAL 19,2nd & 13 at BAL 19,,,,4.483333333333333,92.52777777777777,0.917,0.44,1.0
,,,446000,0.928,28.0,False,False,8.0,23.0,2018-09-14T03:23:52Z,2018-09-30T09:48Z,4010306904436.0,(3:44) (Shotgun) A.Dalton pass short left to J.Ross to BLT 10 for 8 yards (B.Carr).,4.0,12.0,82.0,4.0,3.0,18.0,3:44,24.0,Pass Reception,REC,4th & 4,BAL 10,4th & 4 at BAL 10,4.0,90.0,4.0,4.0,10.0,3rd & 12,BAL 18,3rd & 12 at BAL 18,,,,3.7333333333333334,93.77777777777779,0.928,0.44,1.0
,,,447900,0.925,31.0,True,False,28.0,23.0,2018-09-14T03:24:33Z,2018-09-30T09:48Z,4010306904460.0,Randy Bullock 28 Yd Field Goal ,4.0,4.0,90.0,4.0,4.0,10.0,2:59,59.0,Field Goal Good,FG,,,,10.0,100.0,4.0,-1.0,65.0,4th & 4,BAL 10,4th & 4 at BAL 10,Field Goal,field-goal,FG,2.9833333333333334,95.02777777777777,0.925,0.44,1.0
,,,450300,0.939,31.0,False,False,0.0,23.0,2018-09-14T03:27:31Z,2018-09-30T09:48Z,4010306904479.0,"R.Bullock kicks 65 yards from CIN 35 to end zone, Touchback.",4.0,0.0,35.0,4.0,0.0,65.0,2:59,53.0,Kickoff,K,1st & 10,BAL 25,1st & 10 at BAL 25,10.0,75.0,33.0,1.0,75.0,,,,,,,2.9833333333333334,95.02777777777777,0.939,0.44,1.0
,,,452500,0.947,31.0,False,False,0.0,23.0,2018-09-14T03:28:10Z,2018-09-30T09:48Z,4010306904503.0,(2:59) (Shotgun) J.Flacco pass incomplete short right to J.Brown (D.Kirkpatrick).,4.0,10.0,75.0,33.0,1.0,75.0,2:59,3.0,Pass Incompletion,,2nd & 10,BAL 25,2nd & 10 at BAL 25,10.0,75.0,33.0,2.0,75.0,1st & 10,BAL 25,1st & 10 at BAL 25,,,,2.9833333333333334,95.02777777777777,0.947,0.44,1.0
,,,454700,0.947,31.0,False,False,0.0,23.0,2018-09-14T03:28:50Z,2018-09-30T09:48Z,4010306904525.0,(2:56) (Shotgun) J.Flacco pass incomplete short middle to M.Crabtree.,4.0,10.0,75.0,33.0,2.0,75.0,2:56,3.0,Pass Incompletion,,3rd & 10,BAL 25,3rd & 10 at BAL 25,10.0,75.0,33.0,3.0,75.0,2nd & 10,BAL 25,2nd & 10 at BAL 25,,,,2.9333333333333336,95.11111111111111,0.947,0.44,1.0
,,,456400,0.934,31.0,False,False,0.0,23.0,2018-09-14T03:29:30Z,2018-09-30T09:48Z,4010306904547.0,Timeout #2 by CIN at 02:52.,4.0,10.0,75.0,33.0,3.0,75.0,2:52,21.0,Timeout,TO,3rd & 10,BAL 25,3rd & 10 at BAL 25,10.0,75.0,33.0,3.0,75.0,,,,,,,2.8666666666666667,95.22222222222221,0.934,0.44,1.0
,,,459300,0.984,31.0,False,False,0.0,23.0,2018-09-14T03:30:26Z,2018-09-30T09:48Z,4010306904564.0,"(2:52) (Shotgun) J.Flacco sacked at BLT 20 for -5 yards (S.Williams). FUMBLES (S.Williams) [S.Williams], RECOVERED by CIN-J.Willis at BLT 29. J.Willis to BLT 29 for no gain (J.Allen).",4.0,10.0,75.0,33.0,3.0,75.0,2:52,7.0,Sack,,2nd & 10,BAL 29,2nd & 10 at BAL 29,10.0,71.0,33.0,2.0,29.0,3rd & 10,BAL 25,3rd & 10 at BAL 25,,,,2.8666666666666667,95.22222222222221,0.984,0.44,1.0
,,,461400,0.988,31.0,False,False,1.0,23.0,2018-09-14T03:31:42Z,2018-09-30T09:48Z,4010306904593.0,(2:42) J.Mixon right end to BLT 28 for 1 yard (P.Onwuasor).,4.0,10.0,71.0,4.0,1.0,29.0,2:42,5.0,Rush,RUSH,2nd & 9,BAL 28,2nd & 9 at BAL 28,9.0,72.0,4.0,2.0,28.0,1st & 10,BAL 29,1st & 10 at BAL 29,,,,2.7,95.5,0.988,0.44,1.0
,,,463100,0.988,31.0,False,False,0.0,23.0,2018-09-14T03:32:19Z,2018-09-30T09:48Z,4010306904614.0,Timeout #1 by BLT at 02:37.,4.0,9.0,72.0,4.0,2.0,28.0,2:37,21.0,Timeout,TO,2nd & 9,BAL 28,2nd & 9 at BAL 28,9.0,72.0,4.0,2.0,28.0,,,,,,,2.6166666666666667,95.63888888888889,0.988,0.44,1.0
,,,465200,0.993,31.0,False,False,2.0,23.0,2018-09-14T03:33:11Z,2018-09-30T09:48Z,4010306904631.0,(2:37) J.Mixon left end to BLT 26 for 2 yards (M.Judon).,4.0,9.0,72.0,4.0,2.0,28.0,2:37,5.0,Rush,RUSH,3rd & 7,BAL 26,3rd & 7 at BAL 26,7.0,74.0,4.0,3.0,26.0,2nd & 9,BAL 28,2nd & 9 at BAL 28,,,,2.6166666666666667,95.63888888888889,0.993,0.44,1.0
,,,466900,0.991,31.0,False,False,0.0,23.0,2018-09-14T03:33:32Z,2018-09-30T09:48Z,4010306904652.0,Timeout #2 by BLT at 02:33.,4.0,7.0,74.0,4.0,3.0,26.0,2:33,21.0,Timeout,TO,3rd & 7,BAL 26,3rd & 7 at BAL 26,7.0,74.0,4.0,3.0,26.0,,,,,,,2.55,95.75,0.991,0.44,1.0
,,,469000,0.995,31.0,False,False,4.0,23.0,2018-09-14T03:34:23Z,2018-09-30T09:48Z,4010306904669.0,(2:33) J.Mixon left tackle to BLT 22 for 4 yards (C.Wormley).,4.0,7.0,74.0,4.0,3.0,26.0,2:33,5.0,Rush,RUSH,4th & 3,BAL 22,4th & 3 at BAL 22,3.0,78.0,4.0,4.0,22.0,3rd & 7,BAL 26,3rd & 7 at BAL 26,,,,2.55,95.75,0.995,0.44,1.0
,,,470700,0.999,31.0,False,False,0.0,23.0,2018-09-14T03:34:44Z,2018-09-30T09:48Z,4010306904690.0,Timeout #3 by BLT at 02:29.,4.0,3.0,78.0,4.0,4.0,22.0,2:29,21.0,Timeout,TO,4th & 3,BAL 22,4th & 3 at BAL 22,3.0,78.0,4.0,4.0,22.0,,,,,,,2.4833333333333334,95.86111111111111,0.999,0.44,1.0
,,,472600,0.999,34.0,True,False,40.0,23.0,2018-09-14T03:35:21Z,2018-09-30T09:48Z,4010306904707.0,Randy Bullock 40 Yd Field Goal ,4.0,3.0,78.0,4.0,4.0,22.0,2:25,59.0,Field Goal Good,FG,,,,10.0,100.0,4.0,-1.0,65.0,4th & 3,BAL 22,4th & 3 at BAL 22,Field Goal,field-goal,FG,2.4166666666666665,95.97222222222223,0.999,0.44,1.0
,,,474100,0.998,34.0,False,False,0.0,23.0,2018-09-14T03:36:45Z,2018-09-30T09:48Z,4010306904726.0,"R.Bullock kicks 65 yards from CIN 35 to end zone, Touchback.",4.0,0.0,35.0,4.0,0.0,65.0,2:25,53.0,Kickoff,K,1st & 10,BAL 25,1st & 10 at BAL 25,10.0,75.0,33.0,1.0,75.0,,,,,,,2.4166666666666665,95.97222222222223,0.998,0.44,1.0
,,,477400,0.997,34.0,False,False,15.0,23.0,2018-09-14T03:37:24Z,2018-09-30T09:48Z,4010306904741.0,"(2:25) (Shotgun) J.Flacco pass incomplete short middle to J.Allen [C.Lawson]. PENALTY on CIN-C.Lawson, Roughing the Passer, 15 yards, enforced at BLT 25 - No Play.",4.0,10.0,75.0,33.0,1.0,75.0,2:24,3.0,Pass Incompletion,,3rd & 10,BAL 40,3rd & 10 at BAL 40,10.0,60.0,33.0,3.0,60.0,1st & 10,BAL 25,1st & 10 at BAL 25,,,,2.4,96.0,0.997,0.44,1.0
,,,479600,0.998,34.0,False,False,0.0,23.0,2018-09-14T03:38:14Z,2018-09-30T09:48Z,4010306904774.0,(2:21) (Shotgun) J.Flacco pass incomplete short right to J.Allen (C.Dunlap).,4.0,10.0,60.0,33.0,1.0,60.0,2:21,3.0,Pass Incompletion,,2nd & 10,BAL 40,2nd & 10 at BAL 40,10.0,60.0,33.0,2.0,60.0,1st & 10,BAL 40,1st & 10 at BAL 40,,,,2.35,96.08333333333333,0.998,0.44,1.0
,,,481800,0.998,34.0,False,False,0.0,23.0,2018-09-14T03:38:46Z,2018-09-30T09:48Z,4010306904796.0,(2:18) (Shotgun) J.Flacco pass incomplete short right to C.Moore. CIN-D.Kirkpatrick was injured during the play.,4.0,10.0,60.0,33.0,2.0,60.0,2:18,3.0,Pass Incompletion,,3rd & 10,BAL 40,3rd & 10 at BAL 40,10.0,60.0,33.0,3.0,60.0,2nd & 10,BAL 40,2nd & 10 at BAL 40,,,,2.3,96.16666666666667,0.998,0.44,1.0
,,,485000,0.999,34.0,False,False,7.0,23.0,2018-09-14T03:41:05Z,2018-09-30T09:48Z,4010306904818.0,(2:14) (Shotgun) J.Flacco pass short middle to J.Allen to BLT 47 for 7 yards (D.Dennard; H.Nickerson).,4.0,10.0,60.0,33.0,3.0,60.0,2:14,24.0,Pass Reception,REC,4th & 3,BAL 47,4th & 3 at BAL 47,3.0,53.0,33.0,4.0,53.0,3rd & 10,BAL 40,3rd & 10 at BAL 40,,,,2.2333333333333334,96.27777777777777,0.999,0.44,1.0
,,,486700,0.996,34.0,False,False,0.0,23.0,2018-09-14T03:41:27Z,2018-09-30T09:48Z,4010306904850.0,Two-Minute Warning,4.0,3.0,53.0,33.0,4.0,53.0,2:00,75.0,Two-minute warning,2Min Warn,4th & 3,BAL 47,4th & 3 at BAL 47,3.0,53.0,33.0,4.0,53.0,,,,,,,2.0,96.66666666666667,0.996,0.44,1.0
,,,489100,0.997,34.0,False,False,5.0,23.0,2018-09-14T03:42:53Z,2018-09-30T09:48Z,4010306904867.0,(2:00) (Shotgun) J.Flacco pass short right to M.Andrews to CIN 48 for 5 yards (H.Nickerson).,4.0,3.0,53.0,33.0,4.0,53.0,2:00,24.0,Pass Reception,REC,1st & 10,CIN 48,1st & 10 at CIN 48,10.0,48.0,33.0,1.0,47.0,4th & 3,BAL 47,4th & 3 at BAL 47,,,,2.0,96.66666666666667,0.997,0.44,1.0
,,,491500,0.998,34.0,False,False,4.0,23.0,2018-09-14T03:43:16Z,2018-09-30T09:48Z,4010306904891.0,(1:36) (Shotgun) J.Flacco pass short middle to C.Moore to CIN 44 for 4 yards (S.Williams).,4.0,10.0,48.0,33.0,1.0,48.0,1:36,24.0,Pass Reception,REC,1st & 10,CIN 44,1st & 10 at CIN 44,10.0,44.0,33.0,1.0,47.0,1st & 10,CIN 48,1st & 10 at CIN 48,,,,1.6,97.33333333333334,0.998,0.44,1.0
,,,494600,0.998,34.0,False,False,6.0,23.0,2018-09-14T03:43:38Z,2018-09-30T09:48Z,4010306904915.0,(1:15) (Shotgun) J.Flacco pass short middle to J.Allen to CIN 38 for 6 yards (D.Dennard). CIN-S.Williams was injured during the play.,4.0,6.0,44.0,33.0,2.0,44.0,1:15,24.0,Pass Reception,REC,1st & 10,CIN 38,1st & 10 at CIN 38,10.0,38.0,33.0,1.0,38.0,2nd & 6,CIN 44,2nd & 6 at CIN 44,,,,1.25,97.91666666666666,0.998,0.44,1.0
,,,496700,0.999,34.0,False,False,0.0,23.0,2018-09-14T03:44:22Z,2018-09-30T09:48Z,4010306904946.0,Timeout #3 by CIN at 01:06. {timeout charged due to injury inside last 2 minutes of half},4.0,1.0,38.0,33.0,3.0,38.0,1:06,21.0,Timeout,TO,3rd & 1,CIN 38,3rd & 1 at CIN 38,1.0,38.0,33.0,3.0,38.0,,,,,,,1.1,98.16666666666667,0.999,0.44,1.0
,,,498900,0.997,34.0,False,False,0.0,23.0,2018-09-14T03:45:08Z,2018-09-30T09:48Z,4010306904967.0,(1:06) (Shotgun) J.Flacco pass incomplete deep right to W.Snead IV.,4.0,10.0,38.0,33.0,1.0,38.0,1:06,3.0,Pass Incompletion,,2nd & 10,CIN 38,2nd & 10 at CIN 38,10.0,38.0,33.0,2.0,38.0,1st & 10,CIN 38,1st & 10 at CIN 38,,,,1.1,98.16666666666667,0.997,0.44,1.0
,,,501300,0.999,34.0,False,False,9.0,23.0,2018-09-14T03:45:50Z,2018-09-30T09:48Z,4010306904989.0,(:59) (Shotgun) J.Flacco pass short middle to W.Snead IV to CIN 29 for 9 yards (D.Dennard).,4.0,10.0,38.0,33.0,2.0,38.0,0:59,24.0,Pass Reception,REC,3rd & 1,CIN 29,3rd & 1 at CIN 29,1.0,29.0,33.0,3.0,28.0,2nd & 10,CIN 38,2nd & 10 at CIN 38,,,,0.9833333333333333,98.36111111111111,0.999,0.44,1.0
,,,503700,0.999,34.0,False,False,4.0,23.0,2018-09-14T03:46:11Z,2018-09-30T09:48Z,4010306905013.0,(:37) (Shotgun) J.Flacco pass short right to M.Williams to CIN 25 for 4 yards (D.Dennard).,4.0,1.0,29.0,33.0,3.0,29.0,0:37,24.0,Pass Reception,REC,1st & 10,CIN 25,1st & 10 at CIN 25,10.0,25.0,33.0,1.0,25.0,3rd & 1,CIN 29,3rd & 1 at CIN 29,,,,0.6166666666666667,98.97222222222221,0.999,0.44,1.0
,,,505900,0.999,34.0,False,False,0.0,23.0,2018-09-14T03:46:27Z,2018-09-30T09:48Z,4010306905037.0,(:26) J.Flacco spiked the ball to stop the clock.,4.0,10.0,25.0,33.0,1.0,12.0,0:26,3.0,Pass Incompletion,,1st & 10,CIN 25,1st & 10 at CIN 25,10.0,25.0,33.0,1.0,25.0,1st & 10,CIN 25,1st & 10 at CIN 25,,,,0.43333333333333335,99.27777777777777,0.999,0.44,1.0
,,,508300,0.999,34.0,False,False,2.0,23.0,2018-09-14T03:47:03Z,2018-09-30T09:48Z,4010306905059.0,(:25) (Shotgun) J.Flacco pass short left to M.Williams to CIN 23 for 2 yards (H.Nickerson; D.Dennard).,4.0,10.0,25.0,33.0,2.0,25.0,0:25,24.0,Pass Reception,REC,3rd & 8,CIN 23,3rd & 8 at CIN 23,8.0,23.0,33.0,3.0,23.0,2nd & 10,CIN 25,2nd & 10 at CIN 25,,,,0.4166666666666667,99.30555555555556,0.999,0.44,1.0
,,,510500,0.999,34.0,False,False,0.0,23.0,2018-09-14T03:47:20Z,2018-09-30T09:48Z,4010306905083.0,(:09) J.Flacco spiked the ball to stop the clock.,4.0,8.0,23.0,33.0,3.0,12.0,0:08,3.0,Pass Incompletion,,1st & 10,CIN 23,1st & 10 at CIN 23,10.0,23.0,33.0,1.0,23.0,3rd & 8,CIN 23,3rd & 8 at CIN 23,,,,0.13333333333333333,99.77777777777777,0.999,0.44,1.0
,,,512900,1.0,34.0,False,False,11.0,23.0,2018-09-14T03:48:02Z,2018-09-30T09:48Z,4010306905105.0,(:08) (Shotgun) J.Flacco pass short middle to W.Snead IV to CIN 12 for 11 yards (S.Hubbard).,4.0,8.0,23.0,33.0,4.0,23.0,0:08,24.0,Pass Reception,REC,1st & 10,CIN 12,1st & 10 at CIN 12,10.0,12.0,33.0,1.0,11.0,4th & 8,CIN 23,4th & 8 at CIN 23,,,,0.13333333333333333,99.77777777777777,1.0,0.44,1.0
